net,length_um
_148_,241.61
_038_,232.19
net44,201.75
_128_,201.24
net32,201.11
_184_,196.25
single_ended_reg,196.25
_141_,195.03
net68,194.47
_075_,192.74
_143_,192.69
_074_,190.6
counter_sample,181.03
counter\[11\],180.57
counter\[8\],180.06
_027_,175.53
_026_,169.78
counter\[10\],168.35
net90,168.2
net91,164.94
result\[7\],162.55
net78,159.65
net1,154.96
_039_,154.81
_104_,152.57
net2,152.47
_051_,145.75
net85,145.65
_147_,141.83
_105_,137.5
counter\[9\],137.07
_052_,135.01
_016_,132.82
net52,131.65
_046_,130.04
_040_,128.03
clknet_2_1__leaf_clk,126.1
net50,125.59
counter\[1\],125.13
result\[10\],124.93
_015_,123.86
result\[9\],121.21
_145_,121.06
net56,121.06
_129_,120.6
net51,117.7
result\[6\],116.12
clknet_2_2__leaf_clk,114.39
net46,114.29
_154_,113.17
clknet_2_0__leaf_clk,112.15
net88,108.28
_132_,108.23
en_vcm_sw_o_i,107.99
_076_,106.7
counter\[6\],105.07
net66,104.82
net89,104.26
_130_,103.14
_195_,101.92
_070_,101.66
_135_,101.56
net31,99.68
counter\[5\],96.62
state\[1\],95.86
_018_,95.25
counter\[7\],95.25
_165_,93.01
result\[11\],92.45
_092_,91.84
net47,91.33
_175_,90.82
net70,90.82
_055_,89.49
clknet_2_3__leaf_clk,88.73
_159_,87.36
net65,85.17
net87,84.15
net69,84.1
counter\[2\],83.84
_028_,83.54
net86,83.03
_192_,82.42
net49,82.42
_183_,81.86
_177_,80.23
_069_,79.72
net19,79.62
net48,79.57
vcm_o_i[8],79.38
net81,76.82
result\[8\],76.26
net71,75.6
clk,74.9
vcm_o_i[10],74.9
_050_,74.68
net53,74.58
net72,74.58
result\[2\],72.29
net80,72.29
vcm_o_i[5],71.59
result\[1\],71.27
result\[4\],70.25
net3,69.54
_065_,69.49
net63,69.44
net64,68.32
_032_,66.18
clknet_0_clk,65.52
net82,64.55
_068_,64.4
net74,63.89
vss_n_o[0],62.58
_127_,62.21
_011_,61.04
_149_,61.04
_041_,60.48
_044_,60.02
_194_,59.36
result\[5\],58.9
net54,57.22
en_comp,56.98
net62,56.56
_047_,56.25
_000_,56
_083_,56
vcm_o_i[1],55.86
vcm_o_i[4],55.86
_064_,55.44
_185_,55.03
net29,54.98
_066_,54.88
net45,54.88
vcm_o_i[0],54.74
state\[0\],54.42
net73,52.69
vcm_o_i[3],52.5
_166_,52.08
net28,52.08
clk_data,51.99
en_offset_cal_o,51.99
vcm_o[10],51.38
vin_p_sw_on,50.82
vss_n_o[1],50.82
_188_,50.6
_013_,50.5
_199_,50.5
net38,50.5
_009_,49.84
net34,49.33
vcm_o_i[2],49.14
_196_,48.72
offset_cal_cycle,48.63
comp_p,48.58
_058_,48.26
result\[3\],48.26
net17,47.04
net39,47.04
vcm_dummy_o,46.9
result\[0\],46.53
_067_,46.48
net84,45.97
vcm_o_i[9],45.83
_034_,44.85
net61,44.85
vss_n_o[2],44.71
_136_,44.34
net18,44.29
en_offset_cal,43.54
vss_p_o[1],43.54
_198_,43.22
_017_,43.17
net40,43.17
_117_,42.76
_124_,42.66
_197_,42.1
_054_,41.44
_134_,40.98
_200_,40.93
net59,40.88
vcm_o[9],40.79
